Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
12/15/25,150,150,144,144.5,150,181455,26274149.25
2012-12-25,149.75,151,147,147,109,67397,9929683.25
2012-11-25,150,152,146,148.25,173,69506,10378556
2012-10-25,148,149.75,146.5,148,172,106216,15773102
2012-09-25,143.5,147,142,145.75,141,156462,22620583.25
2012-08-25,142,145.25,140,142.25,184,231891,33111081.25
2012-05-25,141.5,142.75,140,140.25,216,169561,23774271.25
2012-03-25,144,144,140,141,324,273885,38723764.5
2012-02-25,146.5,146.75,144,144.75,331,321834,46799814
2012-01-25,149,150,146,146.5,295,126856,18785748.25
11/28/25,152.25,152.25,149,151,57,13037,1961726.75
11/27/25,153.25,153.25,150,150,143,66561,10003520.5
11/26/25,148,152.5,148,151.5,199,121051,18293721.75
11/25/25,148.5,149.75,147.75,148,304,416650,61710119.5
11/24/25,153,154.5,148,148.5,297,272249,40767447.25
11/21/25,151.75,155,150,152.25,267,159378,24309478.25
11/20/25,153.25,155,153,154,138,90008,13800418
11/19/25,156,156.5,153,153.75,251,293790,45255881.5
11/18/25,157.75,158,155,156,196,193052,30129787.25
11/17/25,156,158,156,157,214,292648,45947811
11/14/25,157,157,154.75,156,274,276731,43070987.25
11/13/25,155,157,154.5,156.75,188,119314,18573943.5
2011-12-25,158.5,159,154,155.5,365,1081044,167639719.3
2011-11-25,160,160,157,158.5,200,143979,22742360.5
2011-10-25,158,162,158,158.5,287,171320,27218887
2011-07-25,163.75,164,156.5,160,431,256262,40946527.25
2011-06-25,157.25,165,157.25,161,1032,1220126,196803569.3
2011-04-25,155,157.5,153,156.75,502,1027420,159413194.3
2011-03-25,151.5,155,151.5,153,486,5836145,880939860.5
10/31/25,149,153,149,151.5,223,1069076,160541927.8
10/30/25,149,157,148,149.75,784,2891776,434154649.8
10/29/25,146.25,148,145,146.25,217,96691,14158078.5
10/28/25,144,146,144,145,197,710861,102447298.3
10/27/25,147,148,144.75,145,164,277838,40495622.75
10/24/25,148,148,146,147,133,451417,66348534.75
10/23/25,146.25,148.5,146,146.75,142,131534,19321585.75
10/22/25,147,148.5,145.75,146.75,143,266007,39007880.5
10/21/25,148.5,148.5,145.25,146.75,180,217915,31858942.5
10/17/25,149.75,149.75,147,147.5,148,760133,112562878
10/16/25,146.75,150,146.75,148,144,639734,95192186.5
