Date, Open, High, Low, Close, Volume
07/14/25, 180.00, 186.00, 179.50, 183.50, 87004
07/11/25, 175.25, 187.00, 175.25, 179.75, 83854
07/09/25, 175.25, 179.75, 174.00, 177.25, 50851
07/08/25, 177.50, 177.50, 170.00, 175.75, 176854
07/07/25, 179.50, 182.00, 177.50, 178.00, 37556
07/04/25, 180.00, 184.75, 176.00, 178.00, 47683
07/03/25, 184.75, 186.75, 176.75, 178.00, 147090
07/02/25, 187.00, 188.50, 180.00, 181.25, 70766
07/01/25, 184.50, 189.50, 184.00, 185.75, 24582
06/30/25, 188.00, 189.00, 185.00, 185.25, 40005
06/27/25, 193.00, 193.00, 186.50, 187.25, 40827
06/26/25, 186.50, 194.00, 186.50, 187.75, 272601
06/25/25, 185.00, 189.75, 185.00, 186.50, 96146
06/24/25, 180.25, 188.75, 180.00, 183.50, 128765
06/23/25, 180.00, 180.00, 172.75, 177.75, 53357
06/20/25, 172.50, 188.00, 172.50, 182.50, 75884
06/19/25, 175.50, 178.25, 169.25, 170.50, 115676
06/18/25, 185.00, 185.00, 175.00, 177.00, 58254
06/17/25, 185.00, 187.00, 178.00, 178.50, 114112
06/16/25, 185.00, 187.00, 176.00, 185.00, 65735
06/13/25, 191.50, 191.50, 184.75, 185.25, 105701
06/12/25, 192.75, 194.50, 186.50, 191.50, 229176
06/11/25, 198.50, 198.50, 191.75, 192.75, 82820
06/09/25, 201.75, 202.00, 196.00, 198.50, 46413
06/06/25, 198.25, 203.25, 198.00, 199.00, 433982
06/05/25, 194.50, 200.00, 194.50, 197.75, 193972
06/04/25, 191.75, 195.00, 190.00, 193.75, 188197
06/03/25, 188.00, 194.75, 187.25, 191.00, 242211
06/02/25, 188.75, 189.00, 186.00, 186.75, 47995
05/30/25, 187.00, 190.00, 185.25, 186.00, 85644
05/29/25, 189.50, 192.00, 182.00, 189.50, 144637
05/28/25, 188.00, 190.00, 185.00, 187.50, 26506
05/27/25, 180.00, 195.00, 180.00, 187.00, 455684
05/26/25, 181.50, 181.50, 178.75, 179.00, 39745
05/23/25, 180.00, 181.75, 179.50, 179.75, 20655
05/22/25, 178.50, 182.50, 178.50, 180.00, 41432
05/21/25, 180.00, 182.75, 178.50, 179.00, 3312
05/20/25, 183.50, 183.50, 179.00, 179.25, 25783
05/19/25, 184.00, 184.00, 182.00, 183.50, 4469
05/16/25, 182.75, 184.75, 181.75, 183.50, 44311
05/15/25, 178.00, 183.75, 178.00, 182.00, 69508
05/14/25, 177.25, 182.25, 175.00, 179.75, 28924
05/09/25, 176.50, 181.00, 176.00, 177.00, 17976
05/08/25, 176.00, 180.00, 175.50, 179.00, 1572
05/07/25, 182.50, 182.50, 176.00, 176.50, 21708
05/06/25, 178.50, 183.00, 178.50, 181.50, 8438
05/05/25, 177.00, 181.00, 177.00, 179.25, 25564
05/02/25, 179.00, 179.00, 175.50, 178.00, 14675
04/30/25, 179.00, 180.75, 176.00, 177.75, 19170
04/29/25, 179.00, 182.00, 179.00, 179.75, 14218
04/28/25, 184.50, 184.50, 181.25, 181.50, 31559
04/25/25, 178.00, 184.75, 178.00, 182.00, 68494
04/24/25, 178.75, 178.75, 174.00, 178.25, 16161
04/23/25, 174.00, 178.75, 173.00, 175.75, 15852
04/22/25, 174.75, 175.00, 171.00, 173.75, 41963
04/21/25, 174.00, 176.00, 169.00, 169.25, 16471
04/17/25, 175.50, 178.75, 173.25, 174.25, 49321
04/16/25, 170.00, 180.00, 170.00, 175.50, 49396
04/11/25, 168.00, 172.50, 165.25, 169.25, 5896
04/10/25, 170.00, 185.50, 166.25, 170.25, 138106
04/09/25, 164.75, 164.75, 151.50, 157.00, 25249
04/08/25, 145.25, 165.75, 145.25, 164.75, 120119
04/07/25, 155.00, 155.00, 142.50, 146.25, 45856
04/04/25, 159.75, 159.75, 153.00, 157.00, 44010
04/03/25, 163.50, 164.00, 158.00, 159.75, 29540
04/02/25, 167.25, 167.25, 164.50, 164.50, 9197
04/01/25, 165.00, 166.50, 159.50, 166.00, 6435
03/28/25, 164.00, 164.75, 158.00, 158.25, 20303
03/27/25, 164.00, 164.00, 162.00, 162.25, 2817
03/26/25, 164.00, 164.00, 160.00, 160.25, 18050
03/25/25, 164.25, 166.00, 161.75, 163.00, 21894
03/24/25, 166.00, 169.00, 163.50, 164.50, 29400
03/21/25, 159.00, 166.50, 159.00, 164.75, 35082
03/20/25, 155.50, 161.75, 155.50, 158.00, 29611
03/19/25, 155.00, 159.50, 151.00, 152.00, 40638
03/18/25, 164.75, 164.75, 154.00, 155.25, 34956
03/17/25, 165.00, 165.00, 158.00, 160.75, 41128
03/14/25, 167.50, 169.50, 160.50, 162.50, 17396
03/12/25, 160.50, 167.50, 160.25, 166.50, 25635
03/11/25, 167.75, 168.00, 160.00, 160.50, 28759
