Date, Open, High, Low, Close, Volume
07/14/25, 32.00, 32.50, 31.50, 31.80, 2218046
07/11/25, 30.00, 32.20, 30.00, 31.20, 6168275
07/09/25, 30.40, 30.50, 29.80, 30.00, 1207821
07/08/25, 30.40, 30.40, 29.80, 30.00, 1111564
07/07/25, 30.30, 30.40, 30.00, 30.10, 1369148
07/04/25, 30.50, 30.70, 30.00, 30.40, 989109
07/03/25, 30.80, 31.00, 30.30, 30.50, 2941427
07/02/25, 30.50, 30.90, 30.20, 30.50, 2869206
07/01/25, 30.50, 30.80, 30.00, 30.30, 3364506
06/30/25, 30.40, 30.60, 30.20, 30.50, 5473917
06/27/25, 30.30, 31.10, 30.00, 30.20, 7058897
06/26/25, 29.00, 30.80, 28.80, 30.10, 12138580
06/25/25, 29.90, 29.90, 28.80, 29.00, 3872671
06/24/25, 28.10, 28.90, 28.10, 28.60, 2490604
06/23/25, 28.00, 28.30, 27.30, 27.90, 1281101
06/20/25, 28.00, 28.80, 28.00, 28.40, 1115986
06/19/25, 28.30, 28.40, 27.50, 27.90, 3470640
06/18/25, 29.00, 29.00, 28.30, 28.50, 1487710
06/17/25, 29.00, 29.60, 28.80, 29.00, 3789133
06/16/25, 28.30, 29.50, 27.50, 29.00, 4939132
06/13/25, 28.50, 29.10, 28.50, 28.60, 3665167
06/12/25, 29.00, 29.30, 28.70, 29.10, 2588785
06/11/25, 29.10, 29.50, 28.70, 28.90, 2345972
06/09/25, 29.60, 29.90, 29.00, 29.30, 3181279
06/06/25, 30.00, 30.30, 29.40, 29.60, 3342861
06/05/25, 29.80, 30.30, 29.80, 29.90, 7291212
06/04/25, 28.60, 30.40, 28.60, 29.70, 9588068
06/03/25, 28.30, 28.60, 28.20, 28.50, 2813259
06/02/25, 28.00, 28.50, 27.40, 28.10, 5730618
05/30/25, 28.10, 28.30, 27.90, 28.00, 2729603
05/29/25, 27.60, 28.50, 27.60, 28.00, 15901750
05/28/25, 26.20, 27.60, 26.20, 27.50, 1444653
05/27/25, 26.40, 26.40, 26.00, 26.30, 5903192
05/26/25, 25.80, 26.50, 25.60, 26.30, 1109442
05/23/25, 25.70, 26.00, 25.40, 25.60, 8429335
05/22/25, 24.30, 25.50, 24.20, 24.90, 14505110
05/21/25, 24.60, 24.60, 24.10, 24.20, 3032561
05/20/25, 24.70, 24.70, 24.40, 24.60, 1300817
05/19/25, 24.60, 24.90, 24.50, 24.60, 1028380
05/16/25, 24.40, 24.80, 24.40, 24.50, 2549384
05/15/25, 24.50, 24.50, 24.30, 24.40, 3432932
05/14/25, 24.50, 24.50, 24.30, 24.50, 2200004
05/09/25, 24.50, 24.50, 24.10, 24.10, 2266669
05/08/25, 24.50, 24.50, 24.30, 24.50, 522571
05/07/25, 25.00, 26.00, 24.00, 24.50, 2699139
04/28/25, 24.35, 24.60, 24.20, 24.35, 11242379.8313643
04/25/25, 23.95, 24.40, 23.85, 24.00, 6523369.90214945
04/24/25, 23.95, 23.95, 23.75, 23.90, 4326699.9350995
04/23/25, 23.85, 23.90, 23.80, 23.80, 386429.99420355
04/22/25, 23.90, 23.90, 23.75, 23.80, 127834.998082475
04/21/25, 23.90, 24.00, 23.80, 23.85, 172164.997417525
04/17/25, 23.80, 23.80, 23.60, 23.80, 162049.99756925
04/16/25, 23.65, 23.95, 23.65, 23.75, 288449.99567325
04/11/25, 23.40, 23.50, 23.20, 23.35, 102864.998457025
04/10/25, 22.80, 24.00, 22.80, 23.35, 4763974.92854038
04/09/25, 23.00, 23.00, 22.35, 22.35, 851109.98723335
04/08/25, 22.30, 23.80, 22.30, 23.05, 2750619.9587407
04/07/25, 23.00, 23.00, 21.65, 22.40, 2074169.96888745
04/04/25, 23.60, 23.60, 23.20, 23.45, 2445444.96331833
04/03/25, 24.20, 24.20, 23.55, 23.80, 831824.987522625
04/02/25, 24.25, 24.50, 24.20, 24.45, 168779.9974683
04/01/25, 23.90, 24.40, 23.85, 24.35, 2763754.95854368
03/28/25, 24.00, 24.00, 23.75, 24.00, 1057244.98414133
03/27/25, 23.80, 23.95, 23.60, 23.75, 490029.99264955
03/26/25, 23.90, 24.00, 23.80, 23.85, 173039.9974044
03/25/25, 24.10, 24.10, 23.85, 23.85, 1167799.982483
03/24/25, 24.00, 24.15, 23.95, 23.95, 1186119.9822082
03/21/25, 23.80, 23.95, 23.80, 23.85, 2629349.96055975
03/20/25, 23.40, 23.80, 23.40, 23.70, 165594.997516075
03/19/25, 23.40, 23.60, 23.00, 23.00, 2569334.96145998
03/18/25, 23.85, 24.10, 23.25, 23.50, 1801404.97297893
03/17/25, 24.40, 24.40, 23.95, 24.00, 182524.997262125
03/14/25, 24.20, 24.50, 24.10, 24.30, 2120789.96818815
03/12/25, 23.85, 24.05, 23.75, 23.90, 697774.989533375
03/11/25, 24.05, 24.40, 23.65, 23.85, 1553194.97670208
