Date, Open, High, Low, Close, Volume
07/14/25, 39.80, 40.00, 39.40, 39.50, 1128353
07/11/25, 38.00, 39.90, 38.00, 39.60, 772096
07/09/25, 38.80, 39.20, 38.10, 38.90, 442135
07/08/25, 39.50, 39.50, 38.60, 38.70, 185857
07/07/25, 39.60, 39.80, 39.30, 39.50, 239151
07/04/25, 39.80, 39.80, 39.10, 39.50, 855124
07/03/25, 39.50, 39.90, 39.20, 39.70, 363520
07/02/25, 39.50, 40.20, 39.30, 39.90, 670933
07/01/25, 40.00, 40.30, 39.50, 39.60, 1332845
06/30/25, 39.30, 40.80, 39.30, 40.00, 1598640
06/27/25, 39.40, 39.60, 38.70, 39.30, 348161
06/26/25, 39.50, 40.00, 38.90, 39.00, 934305
06/25/25, 39.00, 39.80, 39.00, 39.50, 594057
06/24/25, 38.50, 39.40, 38.50, 38.80, 512018
06/23/25, 37.70, 38.20, 37.50, 37.80, 562648
06/20/25, 38.00, 38.90, 37.70, 38.50, 297529
06/19/25, 38.60, 39.00, 37.80, 38.00, 1213823
06/18/25, 39.20, 39.70, 38.40, 38.60, 199896
06/17/25, 39.60, 40.20, 39.00, 39.10, 597293
06/16/25, 39.80, 39.80, 38.00, 39.70, 472101
06/13/25, 40.50, 40.50, 39.60, 39.80, 939417
06/12/25, 40.70, 40.90, 40.30, 40.50, 1348768
06/11/25, 39.60, 40.80, 39.40, 40.70, 7628606
06/09/25, 39.70, 39.90, 39.40, 39.60, 351857
06/06/25, 39.80, 40.10, 39.40, 39.60, 618453
06/05/25, 40.10, 40.80, 39.80, 40.00, 1772938
06/04/25, 38.50, 40.30, 38.30, 40.00, 9117952
06/03/25, 38.80, 38.80, 38.10, 38.50, 721351
06/02/25, 38.00, 38.70, 37.80, 38.30, 1464548
05/30/25, 38.30, 38.30, 37.50, 37.70, 278602
05/29/25, 38.60, 38.90, 38.00, 38.20, 276086
05/28/25, 38.90, 38.90, 38.40, 38.40, 124237
05/27/25, 38.40, 38.80, 38.30, 38.60, 634071
05/26/25, 38.90, 39.20, 38.40, 38.40, 191250
05/23/25, 38.80, 39.00, 38.50, 38.60, 219778
05/22/25, 39.10, 39.50, 38.50, 38.80, 236885
05/21/25, 39.40, 39.40, 38.60, 38.90, 121633
05/20/25, 39.30, 39.30, 38.90, 38.90, 476612
05/19/25, 39.00, 39.40, 38.70, 39.20, 2017589
05/16/25, 39.00, 39.10, 38.70, 38.90, 171426
05/15/25, 39.00, 39.10, 38.80, 39.00, 176274
05/14/25, 39.00, 39.10, 38.50, 38.60, 374684
