Date, Open, High, Low, Close, Volume
07/14/25, 24.40, 24.70, 24.00, 24.20, 124830
07/11/25, 24.10, 24.60, 24.10, 24.60, 50089
07/09/25, 24.50, 24.50, 23.90, 24.00, 51037
07/08/25, 24.00, 24.50, 23.90, 24.50, 3213
07/07/25, 24.70, 24.90, 24.00, 24.10, 30406
07/04/25, 24.50, 24.80, 24.20, 24.60, 244301
07/03/25, 24.20, 24.60, 24.10, 24.10, 13029
07/02/25, 24.20, 24.80, 24.10, 24.20, 31570
07/01/25, 24.10, 24.90, 24.10, 24.60, 160325
06/30/25, 24.50, 24.50, 24.00, 24.10, 33661
06/27/25, 24.00, 24.60, 24.00, 24.30, 143276
06/26/25, 23.80, 24.60, 23.70, 23.80, 72113
06/25/25, 23.70, 24.50, 23.70, 23.80, 94031
06/24/25, 23.50, 23.90, 23.20, 23.70, 119329
06/23/25, 23.10, 23.50, 23.00, 23.00, 64757
06/20/25, 23.70, 23.70, 23.40, 23.50, 19767
06/19/25, 24.10, 24.30, 23.50, 23.60, 30659
06/18/25, 24.30, 24.30, 23.90, 24.00, 164009
06/17/25, 24.70, 24.70, 24.20, 24.30, 33249
06/16/25, 24.50, 24.50, 24.10, 24.50, 79821
06/13/25, 24.60, 24.90, 24.40, 24.50, 65305
06/12/25, 24.60, 24.70, 24.50, 24.50, 31325
06/11/25, 24.70, 24.80, 24.60, 24.70, 38218
06/09/25, 24.80, 24.90, 24.50, 24.80, 19908
06/06/25, 24.60, 24.90, 24.30, 24.50, 39871
06/05/25, 24.80, 25.00, 24.00, 24.10, 2374193
06/04/25, 25.50, 25.50, 24.80, 24.90, 84458
06/03/25, 25.50, 25.50, 24.70, 25.00, 101290
06/02/25, 25.90, 25.90, 25.00, 25.00, 107090
05/30/25, 25.10, 25.90, 25.00, 25.00, 262163
05/29/25, 25.20, 25.90, 25.00, 25.30, 28041
05/28/25, 25.20, 25.90, 25.00, 25.40, 285288
05/27/25, 25.90, 25.90, 25.30, 25.40, 794490
05/26/25, 25.90, 26.00, 25.70, 25.70, 10947
05/23/25, 26.00, 26.00, 25.70, 25.90, 67345
05/22/25, 25.70, 26.00, 25.50, 25.50, 1313616
05/21/25, 25.20, 25.90, 25.20, 25.50, 157958
