Date, Open, High, Low, Close, Volume
07/14/25, 26.50, 26.70, 26.30, 26.40, 4079439
07/11/25, 25.80, 26.40, 25.80, 26.20, 4304968
07/09/25, 26.00, 26.40, 25.70, 26.00, 1224065
07/08/25, 25.90, 26.00, 25.50, 26.00, 1352896
07/07/25, 26.50, 26.50, 25.80, 25.90, 855822
07/04/25, 26.10, 26.70, 25.20, 26.50, 3091017
07/03/25, 25.70, 26.30, 25.50, 25.80, 3786125
07/02/25, 25.80, 25.90, 25.40, 25.60, 2402131
07/01/25, 25.70, 26.00, 25.50, 25.80, 1842641
06/30/25, 26.30, 26.50, 25.70, 25.90, 3167272
06/27/25, 26.90, 27.00, 26.20, 26.40, 4514544
06/26/25, 24.90, 26.90, 24.90, 26.70, 32119699
06/25/25, 24.20, 24.90, 24.20, 24.80, 923002
06/24/25, 23.80, 24.70, 23.80, 24.10, 1790927
06/23/25, 24.00, 24.10, 23.30, 23.70, 900351
06/20/25, 23.60, 24.30, 23.60, 24.10, 474304
06/19/25, 24.00, 24.30, 23.50, 23.60, 1360684
06/18/25, 24.50, 24.70, 24.00, 24.10, 1367288
06/17/25, 24.20, 25.20, 24.20, 24.50, 5836760
06/16/25, 24.00, 24.30, 23.20, 24.10, 1266447
06/13/25, 24.00, 24.30, 23.70, 24.00, 1835708
06/12/25, 24.20, 24.40, 23.90, 24.00, 731110
06/11/25, 24.20, 24.90, 23.90, 24.00, 2145626
06/09/25, 24.80, 24.80, 24.00, 24.30, 874468
06/06/25, 25.00, 25.20, 24.60, 24.70, 776113
06/05/25, 25.00, 25.00, 24.60, 25.00, 2334460
06/04/25, 24.50, 25.20, 24.50, 25.00, 4093492
06/03/25, 24.80, 24.90, 24.40, 24.50, 2893835
06/02/25, 25.00, 25.00, 24.20, 24.40, 1363064
05/30/25, 25.20, 25.20, 24.50, 24.60, 1312442
05/29/25, 24.80, 25.30, 24.60, 25.20, 6724979
05/28/25, 24.30, 24.80, 23.90, 24.50, 3902048
05/27/25, 24.60, 24.60, 24.30, 24.40, 1002302
05/26/25, 24.40, 24.60, 24.30, 24.40, 7022155
05/23/25, 23.50, 24.40, 23.50, 24.30, 1784302
05/22/25, 23.40, 23.60, 23.10, 23.50, 1103628
05/21/25, 23.20, 23.30, 23.00, 23.10, 342650
05/20/25, 23.50, 23.50, 23.10, 23.30, 264961
05/19/25, 23.40, 23.60, 23.30, 23.40, 909957
05/16/25, 23.50, 23.70, 23.40, 23.40, 2395065
05/15/25, 23.40, 23.50, 23.20, 23.30, 884221
05/14/25, 23.90, 24.00, 23.20, 23.30, 3609521
05/09/25, 23.00, 23.10, 22.90, 23.00, 635759
05/08/25, 23.30, 23.30, 22.90, 23.00, 560734
05/07/25, 23.20, 23.30, 22.90, 23.00, 1081593
05/06/25, 23.20, 23.50, 23.20, 23.20, 709379
05/05/25, 23.50, 23.50, 23.10, 23.20, 2049346
05/02/25, 23.20, 23.40, 23.20, 23.30, 971931
04/30/25, 23.40, 23.40, 22.90, 23.30, 8908572
04/29/25, 23.50, 23.60, 23.20, 23.30, 1181919
04/28/25, 23.50, 24.00, 23.30, 23.50, 2033568
04/25/25, 22.60, 23.50, 22.60, 23.40, 7695782
04/24/25, 22.30, 22.80, 22.20, 22.60, 1794767
04/23/25, 22.00, 22.30, 21.60, 22.00, 6345544
04/22/25, 22.10, 22.10, 21.80, 21.80, 326322
04/21/25, 22.20, 22.20, 21.80, 21.90, 2089064
04/17/25, 21.90, 22.10, 21.70, 22.00, 1034144
04/16/25, 21.80, 22.00, 21.60, 21.90, 127642
04/11/25, 21.60, 21.70, 21.50, 21.50, 124918
04/10/25, 21.10, 22.00, 21.10, 21.60, 400369
04/09/25, 21.00, 21.00, 20.30, 20.40, 466707
04/08/25, 19.90, 21.00, 19.90, 21.00, 726218
04/07/25, 21.00, 21.10, 19.20, 20.10, 1562811
04/04/25, 21.40, 21.40, 20.90, 21.10, 959950
04/03/25, 21.80, 21.90, 21.30, 21.30, 526397
04/02/25, 22.20, 22.20, 21.90, 22.00, 1912689
04/01/25, 21.90, 22.50, 21.40, 22.20, 2671652
03/28/25, 21.20, 21.80, 21.10, 21.50, 570995
03/27/25, 21.30, 21.30, 21.00, 21.10, 495617
03/26/25, 21.40, 21.40, 21.00, 21.10, 106125
03/25/25, 21.20, 21.20, 20.90, 21.10, 286764
03/24/25, 21.40, 21.40, 21.00, 21.00, 320205
03/21/25, 20.70, 21.50, 20.70, 21.10, 991116
03/20/25, 20.10, 20.60, 20.10, 20.60, 581761
03/19/25, 20.00, 20.20, 19.90, 20.00, 1493186
03/18/25, 20.00, 20.40, 19.80, 20.00, 1249349
03/17/25, 20.90, 20.90, 20.00, 20.00, 1951650
03/14/25, 20.90, 21.00, 20.40, 20.50, 1058341
03/12/25, 21.00, 21.00, 20.40, 20.70, 1031097
03/11/25, 21.30, 21.30, 20.60, 20.90, 405370
03/10/25, 21.90, 21.90, 21.10, 21.40, 219215
03/07/25, 21.60, 21.60, 21.10, 21.30, 694282
03/06/25, 22.00, 22.00, 21.50, 21.60, 585204
03/05/25, 20.80, 21.90, 20.80, 21.50, 907551
