Date, Open, High, Low, Close, Volume
07/14/25, 13.90, 14.10, 13.80, 13.90, 471364
07/11/25, 13.60, 13.90, 13.60, 13.90, 239410
07/09/25, 13.70, 13.80, 13.60, 13.60, 114655
07/08/25, 13.90, 13.90, 13.50, 13.60, 369179
07/07/25, 13.70, 13.90, 13.70, 13.80, 39485
07/04/25, 13.80, 13.90, 13.60, 13.70, 92059
07/03/25, 14.00, 14.10, 13.70, 13.70, 130912
07/02/25, 13.90, 14.10, 13.80, 14.00, 669253
07/01/25, 13.90, 13.90, 13.70, 13.80, 269299
06/30/25, 13.70, 13.90, 13.60, 13.80, 202964
06/27/25, 13.70, 13.90, 13.50, 13.60, 211524
06/26/25, 13.70, 13.80, 13.50, 13.70, 213595
06/25/25, 13.50, 13.70, 13.40, 13.50, 277404
06/24/25, 13.20, 13.50, 13.20, 13.30, 452233
06/23/25, 13.10, 13.40, 13.10, 13.10, 151493
06/20/25, 13.10, 13.50, 13.10, 13.40, 147179
06/19/25, 13.40, 13.60, 13.00, 13.10, 812903
06/18/25, 13.80, 13.80, 13.40, 13.50, 234411
06/17/25, 13.50, 13.80, 13.40, 13.50, 375992
06/16/25, 13.70, 13.70, 13.50, 13.60, 1216935
06/13/25, 13.90, 14.00, 13.60, 13.70, 749377
06/12/25, 14.00, 14.00, 13.80, 14.00, 314417
06/11/25, 14.00, 14.10, 13.90, 14.00, 244913
06/09/25, 13.70, 14.00, 13.60, 13.90, 259630
06/06/25, 13.70, 13.70, 13.60, 13.60, 100441
06/05/25, 13.60, 13.70, 13.40, 13.70, 532125
06/04/25, 13.60, 13.70, 13.50, 13.60, 494428
06/03/25, 13.70, 13.70, 13.50, 13.60, 179540
06/02/25, 13.70, 13.90, 13.50, 13.60, 205772
05/30/25, 13.70, 13.90, 13.40, 13.60, 436878
05/29/25, 13.80, 13.80, 13.50, 13.60, 2467877
05/28/25, 13.60, 13.80, 13.50, 13.70, 87767
05/27/25, 13.60, 13.70, 13.40, 13.50, 231592
05/26/25, 13.60, 13.60, 13.40, 13.50, 90159
05/23/25, 13.70, 13.80, 13.40, 13.50, 669747
05/22/25, 13.70, 13.90, 13.70, 13.80, 180630
05/21/25, 13.80, 13.90, 13.70, 13.70, 25325
05/20/25, 13.60, 13.90, 13.50, 13.90, 111978
05/19/25, 13.80, 13.90, 13.60, 13.60, 613639
05/16/25, 14.00, 14.00, 13.80, 13.80, 175998
05/15/25, 14.00, 14.00, 13.90, 14.00, 1145763
05/14/25, 13.90, 14.00, 13.90, 13.90, 95539
05/09/25, 14.00, 14.00, 13.90, 13.90, 340456
05/08/25, 13.90, 14.10, 13.90, 13.90, 1663421
05/07/25, 13.90, 14.00, 13.80, 13.90, 295988
05/06/25, 13.90, 13.90, 13.80, 13.90, 29903
05/05/25, 13.70, 13.90, 13.70, 13.90, 46787
05/02/25, 13.60, 13.90, 13.50, 13.70, 110546
04/30/25, 13.90, 13.90, 13.70, 13.80, 118441
04/29/25, 14.00, 14.20, 13.80, 13.90, 225795
04/28/25, 13.50, 14.00, 13.40, 13.90, 923875
04/25/25, 13.10, 13.40, 13.00, 13.20, 297265
04/24/25, 13.00, 13.10, 13.00, 13.10, 22479
04/23/25, 12.90, 12.90, 12.80, 12.90, 47874
04/22/25, 12.80, 12.90, 12.80, 12.90, 45253
04/21/25, 13.00, 13.00, 12.80, 12.90, 117004
04/17/25, 13.00, 13.10, 12.80, 12.90, 52677
04/16/25, 13.00, 13.10, 12.90, 12.90, 173072
04/11/25, 13.20, 13.20, 12.90, 13.00, 80263
04/10/25, 13.00, 13.20, 12.80, 13.00, 533124
04/09/25, 13.00, 13.00, 12.40, 12.50, 313521
04/08/25, 12.30, 13.00, 12.30, 12.80, 240349
04/07/25, 12.80, 12.80, 11.60, 12.30, 1414168
04/04/25, 13.00, 13.30, 12.80, 12.90, 506369
04/03/25, 13.10, 13.20, 13.00, 13.00, 144416
04/02/25, 13.30, 13.40, 13.00, 13.30, 171134
04/01/25, 13.00, 13.40, 12.80, 13.30, 466430
03/28/25, 13.10, 13.20, 12.80, 12.90, 247586
03/27/25, 12.90, 13.10, 12.90, 13.10, 257858
03/26/25, 13.10, 13.30, 12.50, 13.00, 590793
03/25/25, 13.40, 13.40, 13.00, 13.20, 104960
03/24/25, 13.30, 13.50, 13.20, 13.30, 123467
03/21/25, 12.90, 13.50, 12.90, 13.50, 415877
03/20/25, 12.60, 13.00, 12.60, 12.90, 328296
03/19/25, 12.80, 13.00, 12.50, 12.70, 618063
03/18/25, 13.20, 13.30, 12.80, 12.80, 808978
03/17/25, 13.60, 13.60, 13.20, 13.30, 655961
03/14/25, 13.70, 13.80, 13.60, 13.60, 42437
03/12/25, 13.50, 13.80, 13.50, 13.70, 273661
03/11/25, 13.80, 13.80, 13.50, 13.50, 427086
03/10/25, 13.90, 13.90, 13.60, 13.80, 391307
03/07/25, 13.80, 13.90, 13.80, 13.90, 125702
03/06/25, 13.90, 14.00, 13.80, 13.90, 212072
03/05/25, 13.80, 14.00, 13.70, 13.90, 169029
03/04/25, 13.90, 13.90, 13.70, 13.70, 307330
03/03/25, 14.00, 14.00, 13.90, 13.90, 144944
02/28/25, 14.10, 14.30, 14.00, 14.00, 368457
02/27/25, 13.90, 14.10, 13.90, 14.00, 314400
02/25/25, 13.80, 14.00, 13.80, 13.90, 292206
02/24/25, 14.00, 14.00, 13.80, 13.80, 258317
02/21/25, 13.80, 14.00, 13.80, 14.00, 237466
02/20/25, 13.90, 14.00, 13.80, 13.80, 213760
02/19/25, 14.00, 14.00, 13.80, 13.90, 132694
02/18/25, 14.20, 14.30, 13.80, 14.00, 541044
02/17/25, 14.30, 14.30, 14.00, 14.10, 239214
02/14/25, 14.20, 14.40, 14.10, 14.30, 437449
02/13/25, 13.90, 14.30, 13.90, 14.20, 245066
02/11/25, 14.20, 14.30, 13.90, 14.00, 240314
02/10/25, 14.20, 14.30, 14.00, 14.30, 278191
02/07/25, 13.80, 14.20, 13.70, 14.10, 301366
02/06/25, 13.60, 14.00, 13.60, 13.80, 430491
02/05/25, 14.00, 14.00, 13.60, 13.70, 1085977
02/03/25, 14.10, 14.20, 13.90, 14.00, 907809
01/31/25, 14.10, 14.20, 14.00, 14.10, 72468
01/30/25, 14.20, 14.20, 13.90, 14.10, 172324
01/29/25, 14.10, 14.20, 14.00, 14.20, 317836
01/28/25, 14.20, 14.20, 14.00, 14.20, 149140
01/27/25, 13.90, 14.30, 13.90, 14.10, 873823
01/24/25, 14.00, 14.10, 13.80, 13.90, 572713
01/23/25, 14.10, 14.10, 13.80, 13.90, 868473
01/22/25, 14.20, 14.40, 14.00, 14.10, 485134
01/21/25, 14.30, 14.50, 13.90, 14.00, 1498536
01/20/25, 13.80, 14.50, 13.80, 14.30, 3709625
01/17/25, 12.60, 13.80, 12.60, 13.70, 2096577
01/16/25, 12.10, 12.80, 12.10, 12.50, 1217784
01/15/25, 11.90, 12.10, 11.80, 12.00, 6242613
01/10/25, 11.80, 12.10, 11.80, 12.00, 361615
01/09/25, 11.90, 12.10, 11.80, 11.90, 245529
01/08/25, 11.90, 12.10, 11.90, 12.00, 211881
01/07/25, 12.00, 12.10, 11.80, 12.00, 400371
01/06/25, 11.90, 12.40, 11.80, 12.10, 1715942
01/03/25, 12.00, 12.50, 11.80, 11.90, 1152994
01/02/25, 11.50, 12.20, 11.50, 12.00, 3754307
12/31/24, 11.20, 11.70, 11.20, 11.50, 975184
12/30/24, 11.10, 11.30, 11.10, 11.20, 385856
12/27/24, 11.10, 11.30, 11.00, 11.10, 1013450
12/26/24, 11.00, 11.20, 11.00, 11.10, 280851
12/24/24, 11.10, 11.10, 10.90, 11.00, 180783
12/23/24, 10.90, 11.10, 10.90, 11.00, 3469608
12/20/24, 10.90, 11.00, 10.90, 11.00, 1564057
12/19/24, 11.00, 11.00, 10.80, 10.80, 572570
12/18/24, 11.00, 11.10, 10.80, 11.00, 427206
12/17/24, 11.00, 11.20, 11.00, 11.00, 734248
12/16/24, 10.90, 11.10, 10.80, 11.00, 435385
12/13/24, 10.90, 11.00, 10.70, 10.80, 283847
12/12/24, 10.90, 11.00, 10.70, 10.80, 282264
12/11/24, 10.80, 10.90, 10.80, 10.80, 370701
12/10/24, 10.90, 11.00, 10.80, 10.80, 883690
12/09/24, 10.80, 10.90, 10.70, 10.90, 457900
12/06/24, 10.80, 10.90, 10.70, 10.90, 900490
12/05/24, 10.90, 11.00, 10.90, 10.90, 305051
12/04/24, 10.90, 11.00, 10.80, 11.00, 399297
12/03/24, 10.80, 11.00, 10.70, 10.90, 835576
12/02/24, 10.80, 11.00, 10.70, 10.80, 442764
11/29/24, 10.80, 10.90, 10.80, 10.80, 1475477
11/28/24, 10.50, 11.20, 10.50, 10.80, 1166448
11/27/24, 10.40, 10.60, 10.40, 10.50, 593941
11/26/24, 10.30, 10.50, 10.30, 10.40, 254508
11/25/24, 10.40, 10.60, 10.40, 10.40, 675587
11/22/24, 10.30, 10.50, 10.30, 10.40, 492405
11/21/24, 10.40, 10.50, 10.30, 10.30, 1046572
11/20/24, 10.20, 10.50, 10.20, 10.50, 867661
11/19/24, 10.30, 10.30, 10.00, 10.20, 850490
11/18/24, 10.40, 10.50, 10.10, 10.20, 1222895
11/14/24, 10.40, 10.50, 10.10, 10.30, 697123
11/13/24, 10.10, 10.40, 10.00, 10.40, 3841513
11/12/24, 9.90, 10.10, 9.90, 10.00, 749527
11/11/24, 9.80, 10.00, 9.70, 9.90, 230389
11/08/24, 9.90, 10.00, 9.80, 9.80, 1202971
11/07/24, 9.70, 9.90, 9.60, 9.80, 174373
11/06/24, 9.70, 9.80, 9.60, 9.70, 129829
11/05/24, 9.80, 9.80, 9.60, 9.60, 325564
11/04/24, 9.70, 9.90, 9.70, 9.90, 619511
11/01/24, 9.70, 9.70, 9.60, 9.70, 190990
10/30/24, 9.80, 9.90, 9.60, 9.70, 286510
10/29/24, 9.70, 9.80, 9.50, 9.70, 2308858
10/28/24, 9.50, 9.70, 9.30, 9.60, 1477995
10/25/24, 9.40, 9.60, 9.40, 9.50, 908278
10/24/24, 9.40, 9.50, 9.30, 9.40, 1195752
10/23/24, 9.30, 9.40, 9.20, 9.30, 763721
10/22/24, 9.20, 9.20, 9.10, 9.20, 994969
10/21/24, 9.10, 9.20, 9.10, 9.20, 508890
10/18/24, 9.00, 9.20, 9.00, 9.10, 490184
10/16/24, 8.90, 9.10, 8.90, 9.00, 260648
10/15/24, 9.10, 9.10, 8.90, 9.00, 1280150
10/14/24, 9.00, 9.10, 9.00, 9.00, 188735
10/11/24, 9.10, 9.10, 9.00, 9.10, 330096
10/10/24, 9.00, 9.20, 9.00, 9.10, 1333507
10/09/24, 9.00, 9.10, 8.90, 9.00, 2149651
10/08/24, 9.00, 9.10, 8.90, 9.00, 470254
10/07/24, 9.10, 9.10, 8.90, 9.00, 616278
10/04/24, 9.00, 9.10, 8.90, 9.00, 553526
10/03/24, 9.00, 9.10, 8.90, 8.90, 152234
10/02/24, 9.10, 9.10, 8.90, 9.00, 636281
10/01/24, 9.10, 9.20, 9.00, 9.10, 164505
09/30/24, 9.00, 9.20, 9.00, 9.00, 366451
09/27/24, 9.10, 9.10, 9.00, 9.10, 129302
09/26/24, 9.10, 9.20, 8.90, 9.00, 570526
09/25/24, 9.10, 9.20, 9.00, 9.10, 427740
09/24/24, 8.90, 9.10, 8.90, 9.00, 437792
09/23/24, 8.80, 9.00, 8.50, 9.00, 641237
09/20/24, 8.90, 8.90, 8.70, 8.90, 603077
09/19/24, 8.80, 8.90, 8.60, 8.80, 431176
09/18/24, 8.80, 8.80, 8.60, 8.70, 482647
09/13/24, 8.50, 8.80, 8.50, 8.60, 309409
09/12/24, 8.50, 8.50, 8.40, 8.40, 258532
09/11/24, 8.40, 8.50, 8.40, 8.40, 89053
09/10/24, 8.40, 8.50, 8.30, 8.40, 79843
09/09/24, 8.50, 8.50, 8.40, 8.40, 115018
09/06/24, 8.40, 8.50, 8.40, 8.40, 139637
09/05/24, 8.40, 8.50, 8.30, 8.40, 542269
09/04/24, 8.50, 8.50, 8.20, 8.40, 295677
09/03/24, 8.80, 9.00, 8.80, 8.80, 779864
09/02/24, 9.00, 9.00, 8.70, 8.80, 766657
08/30/24, 9.00, 9.00, 8.90, 9.00, 376904
08/29/24, 9.00, 9.10, 8.90, 9.00, 445171
08/28/24, 9.10, 9.20, 9.00, 9.00, 809694
08/27/24, 8.90, 9.30, 8.90, 9.10, 1926011
08/26/24, 8.60, 8.70, 8.60, 8.70, 292393
08/23/24, 8.80, 8.80, 8.60, 8.70, 137021
08/22/24, 8.60, 8.80, 8.60, 8.70, 368062
08/21/24, 8.60, 8.60, 8.50, 8.50, 131275
08/20/24, 8.60, 8.60, 8.50, 8.60, 234859
08/16/24, 8.80, 8.80, 8.60, 8.70, 171276
08/15/24, 8.60, 8.80, 8.60, 8.70, 105693
08/14/24, 8.30, 8.80, 8.30, 8.80, 484960
08/13/24, 8.30, 8.30, 8.20, 8.30, 250247
08/12/24, 8.30, 8.30, 8.20, 8.30, 29004
08/09/24, 8.30, 8.30, 8.20, 8.30, 51724
08/08/24, 8.30, 8.30, 8.10, 8.20, 93089
08/07/24, 8.30, 8.30, 8.20, 8.20, 45375
08/06/24, 8.20, 8.30, 8.20, 8.20, 134695
08/05/24, 8.40, 8.40, 8.10, 8.20, 349226
08/02/24, 8.30, 8.40, 8.20, 8.30, 73491
08/01/24, 8.30, 8.30, 8.20, 8.30, 181625
07/31/24, 8.20, 8.30, 8.20, 8.30, 85032
07/30/24, 8.20, 8.40, 8.20, 8.20, 67876
07/29/24, 8.30, 8.40, 8.20, 8.30, 174091
07/26/24, 8.40, 8.40, 8.30, 8.30, 36709
07/25/24, 8.40, 8.40, 8.40, 8.40, 12910
07/24/24, 8.40, 8.40, 8.30, 8.30, 58810
07/23/24, 8.30, 8.40, 8.20, 8.40, 41505
07/22/24, 8.40, 8.40, 8.30, 8.30, 97691
07/19/24, 8.40, 8.50, 8.30, 8.40, 8108
07/18/24, 8.50, 8.50, 8.30, 8.40, 146179
07/17/24, 8.60, 8.60, 8.50, 8.50, 30652
07/16/24, 8.50, 8.60, 8.50, 8.50, 112928
07/15/24, 8.30, 8.50, 8.30, 8.40, 125007
07/12/24, 8.40, 8.50, 8.40, 8.50, 33651
07/11/24, 8.50, 8.50, 8.40, 8.40, 3984
07/10/24, 8.50, 8.50, 8.40, 8.40, 40552
